R1,arm,band,entry_bid,entry_delay_bars,entry_fill,exit_bid,exit_fill,ficha,level_slip,margin1,net1,net1_con_coste,pos_id,reason,same_bar,sid,side,side_l,spread,t_exit,t_in,t_in_exec,t_out
2033609.7500000137,relief0.00-u0,0.5,4994.18,0,4994.18,4992.26,4992.6,F1,True,4677049.57,147966.9999999932,126895.74999999319,S6-K2P0|F1|1771545600|SHORT,EXIT_SL_RAISED,False,S6-K2P0,SHORT,S,0.5,1771547400.047,1771545600,1771546500.0,1771547400
2033609.7500000137,relief0.00-u0,0.5,4994.18,0,4994.18,4992.26,4992.6,F2,True,4677049.57,147966.9999999932,126895.74999999319,S6-K2P0|F2|1771545600|SHORT,EXIT_SL_RAISED,False,S6-K2P0,SHORT,S,0.5,1771547400.047,1771545600,1771546500.0,1771547400
2033609.7500000137,relief0.00-u0,0.5,4994.18,0,4994.18,4992.26,4992.6,F3,True,4677049.57,147966.9999999932,126895.74999999319,S6-K2P0|F3|1771545600|SHORT,EXIT_SL_RAISED,False,S6-K2P0,SHORT,S,0.5,1771547400.047,1771545600,1771546500.0,1771547400
3618167.7499999353,relief0.00-u0,0.5,5022.54,0,5023.04,5015.08,5015.08,F1,False,4704076.96,-745454.0000000034,-766525.2500000034,S6-K2P0|F1|1771560000|LONG,EXIT_TRAIL,True,S6-K2P0,LONG,L,0.5,1771561800,1771560000,1771560900.0,1771560900
3618167.7499999353,relief0.00-u0,0.5,5022.54,0,5023.04,5015.08,5015.08,F2,False,4704076.96,-745454.0000000034,-766525.2500000034,S6-K2P0|F2|1771560000|LONG,EXIT_TRAIL,True,S6-K2P0,LONG,L,0.5,1771561800,1771560000,1771560900.0,1771560900
3618167.7499999353,relief0.00-u0,0.5,5022.54,0,5023.04,5015.08,5015.08,F3,False,4704076.96,-745454.0000000034,-766525.2500000034,S6-K2P0|F3|1771560000|LONG,EXIT_TRAIL,True,S6-K2P0,LONG,L,0.5,1771561800,1771560000,1771560900.0,1771560900
2975728.749999966,relief0.00-u0,0.5,5152.6,0,5152.6,5136.49,5136.98,F1,False,4825409.9,1462813.000000075,1441741.750000075,S6-K2P0|F1|1771816500|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771822800,1771816500,1771817400.0,1771821900
2975728.749999966,relief0.00-u0,0.5,5152.6,0,5152.6,5136.49,5136.98,F2,False,4825409.9,1462813.000000075,1441741.750000075,S6-K2P0|F2|1771816500|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771822800,1771816500,1771817400.0,1771821900
2975728.749999966,relief0.00-u0,0.5,5152.6,0,5152.6,5136.49,5136.98,F3,False,4825409.9,1462813.000000075,1441741.750000075,S6-K2P0|F3|1771816500|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771822800,1771816500,1771817400.0,1771821900
3347051.0000000647,relief0.00-u0,0.5,5223.72,0,5223.86,5175.488454227637,5175.96,F1,True,4892144.89,4485834.999999966,4464763.749999966,S6-K2P0|F1|1771883100|SHORT,EXIT_SL_RAISED,False,S6-K2P0,SHORT,S,0.5,1771886255.708,1771883100,1771884000.0,1771885800
